SOURCE_ID;PAYMENT_METHOD_TYPE;TRANSACTION_TYPE;TRANSACTION_AMOUNT;TRANSACTION_DATE;FEE_AMOUNT;SETTLEMENT_DATE;REAL_AMOUNT;TAXES_AMOUNT;BUSINESS_UNIT;SUB_UNIT;MONEY_RELEASE_DATE
131988982487;available_money;SETTLEMENT;34141.40;2025-11-05T11:51:49.000-03:00;-17925.20;2025-11-05T11:51:59.000-03:00;15704.08;-512.12;Mercado Libre; ;2025-12-03T11:51:50.000-03:00
131991779549;available_money;SETTLEMENT;97416.80;2025-11-05T12:11:56.000-03:00;-24882.56;2025-11-05T12:12:10.000-03:00;71072.99;-1461.25;Mercado Libre; ;2025-12-03T12:11:57.000-03:00
131997351927;available_money;SETTLEMENT;24354.20;2025-11-05T12:49:35.000-03:00;-6150.64;2025-11-05T12:49:46.000-03:00;10622.26;-365.31;Mercado Libre; ;2025-12-03T12:49:36.000-03:00
132597067934;available_money;SETTLEMENT_SHIPPING;7215.99;2025-11-05T12:49:36.000-03:00;0.00;2025-11-05T12:49:47.000-03:00;7107.75;-108.24;Mercado Libre; ;2025-12-03T12:49:36.000-03:00
131997653017;available_money;SETTLEMENT;10135.38;2025-11-05T12:51:06.000-03:00;-2746.64;2025-11-05T12:51:19.000-03:00;7236.71;-152.03;Mercado Libre; ;2025-12-03T12:51:07.000-03:00
132604361252;credit_card;SETTLEMENT;18226.37;2025-11-05T13:40:37.000-03:00;-10837.63;2025-11-05T13:40:47.000-03:00;7115.34;-273.40;Mercado Libre; ;2025-12-03T13:40:38.000-03:00
132006272757;available_money;SETTLEMENT;37468.00;2025-11-05T13:53:03.000-03:00;-10631.76;2025-11-05T13:53:10.000-03:00;26274.22;-562.02;Mercado Libre; ;2025-12-04T13:53:04.000-03:00
132007463835;available_money;SETTLEMENT;44000.00;2025-11-05T14:03:47.000-03:00;-11543.32;2025-11-05T14:03:56.000-03:00;31796.68;-660.00;Mercado Libre; ;2025-12-04T14:03:47.000-03:00
132628228068;credit_card;SETTLEMENT;30725.19;2025-11-05T16:55:16.000-03:00;-12591.63;2025-11-05T16:55:32.000-03:00;17672.68;-460.88;Mercado Libre; ;2025-12-03T16:55:19.000-03:00
132647261806;available_money;SETTLEMENT_SHIPPING;3027.23;2025-11-05T19:00:29.000-03:00;0.00;2025-11-05T19:00:36.000-03:00;2981.82;-45.41;Mercado Libre; ;2025-12-03T19:00:30.000-03:00
132047405873;available_money;SETTLEMENT;48708.40;2025-11-05T19:00:29.000-03:00;-12441.28;2025-11-05T19:00:40.000-03:00;32509.26;-730.63;Mercado Libre; ;2025-12-03T19:00:30.000-03:00
132649941572;available_money;SETTLEMENT;38404.70;2025-11-05T19:17:10.000-03:00;-12005.54;2025-11-05T19:17:22.000-03:00;25823.09;-576.07;Mercado Libre; ;2025-12-04T19:17:10.000-03:00
132007463835; ;DISPUTE;-44000.00;2025-11-05T20:31:18.000-03:00;11543.32;2025-11-05T20:31:18.000-03:00;0.00;660.00;Mercado Libre; ;
132670956624;available_money;SETTLEMENT;37147.36;2025-11-05T21:44:51.000-03:00;-10440.12;2025-11-05T21:44:59.000-03:00;26707.24;0.00;Mercado Libre; ;2025-12-04T21:44:51.000-03:00
132681499306;credit_card;SETTLEMENT;91625.04;2025-11-05T23:45:50.000-03:00;-24105.68;2025-11-05T23:46:00.000-03:00;67519.36;0.00;Mercado Libre; ;2025-12-04T23:45:52.000-03:00
132686909050;available_money;SETTLEMENT;34435.19;2025-11-06T01:40:34.000-03:00;-16301.63;2025-11-06T01:40:44.000-03:00;17617.03;-516.53;Mercado Libre; ;2025-12-04T01:40:34.000-03:00
132093772959;available_money;SETTLEMENT;23793.09;2025-11-06T05:52:34.000-03:00;-14691.31;2025-11-06T05:52:44.000-03:00;8744.88;-356.90;Mercado Libre; ;2025-12-05T05:52:34.000-03:00
132096691577;available_money;SETTLEMENT;23417.50;2025-11-06T06:55:19.000-03:00;-6069.85;2025-11-06T06:55:24.000-03:00;17347.65;0.00;Mercado Libre; ;2025-12-05T06:55:19.000-03:00
132097427125;available_money;SETTLEMENT;31669.34;2025-11-06T07:06:57.000-03:00;-13142.83;2025-11-06T07:07:03.000-03:00;18051.47;-475.04;Mercado Libre; ;2025-12-04T07:06:57.000-03:00
